"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.766072917E-1,-1.880194177E-3,4.994485527E-3,1.682703849E-3,5.595668688E-3
6.866282917E-1,-3.659341019E-4,-4.441823810E-3,1.048121136E-3,4.578456557E-3
6.966482917E-1,-1.403645147E-4,4.485092126E-3,5.003088154E-4,4.515092744E-3
7.066692917E-1,1.656987006E-3,-4.940072540E-3,7.365187630E-4,5.262355226E-3
7.166892916E-1,-1.529218745E-3,5.232137162E-3,4.358482547E-4,5.468430575E-3
7.267092917E-1,2.260968322E-3,-7.172867656E-3,-8.367470000E-4,7.567176072E-3
7.367302916E-1,7.568150759E-4,4.399099387E-3,-1.179495826E-3,4.616931327E-3
7.467502917E-1,4.311234225E-4,-2.502593677E-3,-1.259174896E-3,2.834495359E-3
7.567712917E-1,-7.404009812E-4,8.892084006E-4,5.991789512E-4,1.303035152E-3
7.667912917E-1,1.130133867E-3,-7.361065364E-4,-1.849641092E-3,2.289154333E-3
7.768122917E-1,1.655841945E-3,-2.896196442E-3,-3.300413955E-4,3.352416099E-3
7.868322916E-1,-6.957440637E-4,3.585280851E-3,5.157394335E-4,3.688398805E-3
7.968529584E-1,6.797956303E-6,-7.016763557E-3,-9.282266255E-4,7.077896700E-3
8.068729583E-1,7.269429043E-4,5.907431245E-3,-4.578381777E-6,5.951992176E-3
8.168939584E-1,7.157574873E-4,-4.932966083E-3,-2.482575364E-4,4.990801034E-3
8.269139583E-1,-2.469284693E-3,5.888239946E-3,-3.319249954E-4,6.393661765E-3
8.369349584E-1,7.089318242E-4,-4.374783486E-3,8.015162311E-4,4.503747678E-3
8.469549584E-1,-1.466298825E-3,6.604588591E-3,7.023890503E-4,6.801762498E-3
8.569759583E-1,-9.853319498E-4,-3.353769425E-3,1.021169126E-3,3.641625296E-3
8.669959584E-1,-6.168999244E-4,4.852763377E-3,-4.156152718E-4,4.909441309E-3
8.770169583E-1,-9.358883835E-5,-2.548161428E-3,1.180823892E-4,2.552612189E-3
8.870369584E-1,-1.757508493E-3,1.500879996E-3,8.159270510E-5,2.312603346E-3
8.970579583E-1,1.994352788E-3,-1.282389625E-3,3.745402209E-4,2.400467990E-3
