"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
7.922825833E-1,2.497009956E-1,6.669291781E-1,9.784117300E0
8.023015833E-1,2.497505507E-1,6.667467450E-1,9.784128410E0
8.123205834E-1,2.499102345E-1,6.665196537E-1,9.784140104E0
8.223395833E-1,2.500893603E-1,6.664636666E-1,9.784139519E0
8.323595833E-1,2.499824294E-1,6.664152078E-1,9.784145367E0
8.423785834E-1,2.501472660E-1,6.664837664E-1,9.784136596E0
8.523975833E-1,2.500252054E-1,6.666320664E-1,9.784129579E0
8.624165833E-1,2.499088641E-1,6.664846435E-1,9.784142443E0
8.724355834E-1,2.497663565E-1,6.664296066E-1,9.784150044E0
8.824545833E-1,2.496872363E-1,6.665009426E-1,9.784147121E0
8.924735833E-1,2.497134757E-1,6.665570759E-1,9.784142443E0
9.024925834E-1,2.498256874E-1,6.665548101E-1,9.784140104E0
9.125115833E-1,2.497528896E-1,6.666914157E-1,9.784132503E0
9.225305833E-1,2.497153761E-1,6.667803665E-1,9.784127240E0
9.325495834E-1,2.498316078E-1,6.667239408E-1,9.784128410E0
9.425685833E-1,2.498168435E-1,6.666933160E-1,9.784130749E0
9.525875833E-1,2.497689329E-1,6.666531164E-1,9.784134842E0
9.626075834E-1,2.496569222E-1,6.666539935E-1,9.784137180E0
9.726265833E-1,2.497283496E-1,6.666558208E-1,9.784135426E0
9.826455833E-1,2.497782885E-1,6.666244651E-1,9.784136011E0
9.926645834E-1,2.499732566E-1,6.666618142E-1,9.784128994E0
1.002683583E0,2.498714236E-1,6.667453562E-1,9.784125486E0
1.012702583E0,2.500801875E-1,6.669096630E-1,9.784109114E0
1.022721583E0,2.500770446E-1,6.668664667E-1,9.784112037E0
1.032740583E0,2.500608186E-1,6.668459284E-1,9.784113792E0
1.042759583E0,2.502475275E-1,6.668082138E-1,9.784112037E0
1.052778583E0,2.502247599E-1,6.668108451E-1,9.784112037E0
1.062797583E0,2.501767031E-1,6.668763339E-1,9.784109114E0
1.072816583E0,2.501046544E-1,6.668951181E-1,9.784109699E0
1.082836583E0,2.502480026E-1,6.669367795E-1,9.784103267E0
1.092855583E0,2.502118595E-1,6.668440280E-1,9.784110283E0
1.102874583E0,2.502951823E-1,6.667245255E-1,9.784116130E0
1.112893583E0,2.503193934E-1,6.667080802E-1,9.784116715E0
1.122912583E0,2.502224576E-1,6.666702926E-1,9.784121978E0
1.132931583E0,2.501086744E-1,6.667188245E-1,9.784121393E0
1.142950583E0,2.499669708E-1,6.667854828E-1,9.784120224E0
1.152969583E0,2.500839882E-1,6.669289588E-1,9.784107944E0
1.162988583E0,2.500320759E-1,6.668971646E-1,9.784111453E0
1.173007583E0,2.500037534E-1,6.668748721E-1,9.784113207E0
1.183026583E0,2.500133283E-1,6.669259621E-1,9.784109699E0
1.193045583E0,2.500497637E-1,6.668292638E-1,9.784115546E0
1.203065583E0,2.499723795E-1,6.668006855E-1,9.784119054E0
1.213084583E0,2.500618784E-1,6.668278751E-1,9.784114961E0
1.223103583E0,2.499968830E-1,6.668089447E-1,9.784117885E0
1.233122583E0,2.500237071E-1,6.667305920E-1,9.784122562E0
1.243141583E0,2.500563053E-1,6.667756887E-1,9.784119054E0
1.253160583E0,2.500729150E-1,6.669303475E-1,9.784107944E0
1.263179583E0,2.500887391E-1,6.669799758E-1,9.784103851E0
1.273198583E0,2.500779583E-1,6.670146936E-1,9.784102097E0
1.283217583E0,2.502597336E-1,6.671320034E-1,9.784089233E0
1.293236583E0,2.502876358E-1,6.671276180E-1,9.784089233E0
1.303255583E0,2.503982943E-1,6.670764548E-1,9.784089818E0
1.313274583E0,2.503791995E-1,6.670103813E-1,9.784094496E0
1.323294583E0,2.505237536E-1,6.670198099E-1,9.784090403E0
1.333313583E0,2.504063708E-1,6.670326738E-1,9.784092157E0
1.343332583E0,2.503623705E-1,6.670555510E-1,9.784092157E0
1.353351583E0,2.504061698E-1,6.669891851E-1,9.784095080E0
1.363370583E0,2.505386640E-1,6.669924742E-1,9.784091572E0
1.373389583E0,2.506537445E-1,6.670912191E-1,9.784082217E0
1.383408583E0,2.505811294E-1,6.671556115E-1,9.784079293E0
1.393427583E0,2.505633320E-1,6.670323084E-1,9.784088649E0
1.403446583E0,2.504477033E-1,6.670209063E-1,9.784092157E0
1.413465583E0,2.505188566E-1,6.670135973E-1,9.784090987E0
1.423484583E0,2.505195509E-1,6.668834236E-1,9.784099758E0
1.433503583E0,2.504727184E-1,6.668731910E-1,9.784101512E0
1.443522583E0,2.504003408E-1,6.668062404E-1,9.784107944E0
1.453542583E0,2.504024239E-1,6.667923532E-1,9.784109114E0
1.463561583E0,2.504432265E-1,6.666363788E-1,9.784118469E0
1.473580583E0,2.504761354E-1,6.664744109E-1,9.784128410E0
1.483599583E0,2.503707028E-1,6.664488293E-1,9.784133087E0
1.493618583E0,2.502856258E-1,6.664125766E-1,9.784137765E0
1.503637583E0,2.504718596E-1,6.663578320E-1,9.784136596E0
1.513656583E0,2.504660672E-1,6.663460645E-1,9.784137765E0
1.523675583E0,2.504225603E-1,6.664265368E-1,9.784133087E0
1.533694583E0,2.503677061E-1,6.663728886E-1,9.784138350E0
1.543713583E0,2.505335477E-1,6.663101041E-1,9.784138350E0
1.553732583E0,2.503953524E-1,6.664267561E-1,9.784134257E0
1.563751583E0,2.504672366E-1,6.665608766E-1,9.784123147E0
1.573771583E0,2.505019728E-1,6.665304711E-1,9.784124317E0
1.583790583E0,2.504304905E-1,6.665513749E-1,9.784124317E0
1.593809583E0,2.503810268E-1,6.667425788E-1,9.784112622E0
1.603828583E0,2.503876049E-1,6.667574892E-1,9.784111453E0
1.613847583E0,2.504060601E-1,6.667790508E-1,9.784109699E0
1.623866583E0,2.503962112E-1,6.668403004E-1,9.784105605E0
1.633885583E0,2.505729251E-1,6.668198352E-1,9.784102682E0
1.643904583E0,2.504346750E-1,6.669158757E-1,9.784099758E0
1.653923583E0,2.503477707E-1,6.668518487E-1,9.784106190E0
1.663942583E0,2.502755759E-1,6.668200544E-1,9.784110283E0
1.673961583E0,2.503746679E-1,6.667349043E-1,9.784113792E0
1.683980583E0,2.504565107E-1,6.666840336E-1,9.784114961E0
1.694000583E0,2.504399923E-1,6.666778940E-1,9.784115546E0
1.704019583E0,2.504639476E-1,6.665989566E-1,9.784120224E0
1.714038583E0,2.505512355E-1,6.667280339E-1,9.784109699E0
1.724057583E0,2.507152499E-1,6.667012829E-1,9.784107360E0
1.734076583E0,2.506618210E-1,6.668260478E-1,9.784099758E0
1.744095458E0,2.506845703E-1,6.668321143E-1,9.784099174E0
1.754114458E0,2.507091469E-1,6.668981878E-1,9.784093911E0
1.764133458E0,2.507333763E-1,6.669663079E-1,9.784088649E0
1.774152458E0,2.506878411E-1,6.670476573E-1,9.784083971E0
1.784171458E0,2.506627346E-1,6.670589132E-1,9.784083971E0
1.794190458E0,2.505617057E-1,6.671070796E-1,9.784083386E0
1.804209458E0,2.504719327E-1,6.671882828E-1,9.784079878E0
1.814228458E0,2.505949435E-1,6.671787080E-1,9.784077539E0
1.824248458E0,2.505794666E-1,6.672246087E-1,9.784074615E0
1.834267458E0,2.505110908E-1,6.672420041E-1,9.784075200E0
1.844286458E0,2.504515405E-1,6.672465357E-1,9.784076954E0
1.854305458E0,2.505172669E-1,6.672149608E-1,9.784076954E0
1.864324458E0,2.504645506E-1,6.672133528E-1,9.784078708E0
1.874343458E0,2.503949504E-1,6.672937520E-1,9.784074615E0
1.884362458E0,2.503169449E-1,6.673099049E-1,9.784075785E0
1.894381458E0,2.504078509E-1,6.673535398E-1,9.784070522E0
1.904400458E0,2.504727001E-1,6.673311742E-1,9.784070522E0
1.914419458E0,2.505219629E-1,6.673124631E-1,9.784070522E0
1.924438458E0,2.505042020E-1,6.673821180E-1,9.784065844E0
1.934457458E0,2.504562183E-1,6.674122312E-1,9.784065260E0
1.944477458E0,2.505980315E-1,6.674599591E-1,9.784058243E0
1.954496458E0,2.504902235E-1,6.676081129E-1,9.784051226E0
1.964515458E0,2.506348873E-1,6.676267509E-1,9.784045964E0
1.974534458E0,2.505801975E-1,6.676857347E-1,9.784043625E0
1.984553458E0,2.506885355E-1,6.676271895E-1,9.784044794E0
1.994572458E0,2.506302826E-1,6.676615418E-1,9.784043625E0
2.004591458E0,2.506076612E-1,6.676964790E-1,9.784041871E0
2.014610458E0,2.507049625E-1,6.675769034E-1,9.784047718E0
2.024629458E0,2.505907773E-1,6.676417344E-1,9.784045964E0
