"Time t (s)","Acceleration x (g)","Acceleration y (g)","Acceleration z (g)","Absolute Acceleration (g)"
2.013999939E0,-2.282714844E-2,2.526855469E-2,9.947509766E-1,9.953336716E-1
2.023999929E0,-2.258300781E-2,2.465820312E-2,9.938964844E-1,9.944587946E-1
2.033999920E0,-2.270507812E-2,2.441406250E-2,9.937744141E-1,9.943335056E-1
2.045000076E0,-2.307128906E-2,2.453613281E-2,9.943847656E-1,9.949549437E-1
2.055000067E0,-2.282714844E-2,2.441406250E-2,9.942626953E-1,9.948243499E-1
2.065000057E0,-2.246093750E-2,2.416992188E-2,9.942626953E-1,9.948100448E-1
2.085000038E0,-2.258300781E-2,2.355957031E-2,9.956054688E-1,9.961401820E-1
2.095999956E0,-2.282714844E-2,2.270507812E-2,9.947509766E-1,9.952718616E-1
2.105000019E0,-2.246093750E-2,2.258300781E-2,9.934082031E-1,9.939186573E-1
2.115000010E0,-2.233886719E-2,2.368164062E-2,9.935302734E-1,9.940634966E-1
2.125000000E0,-2.270507812E-2,2.404785156E-2,9.942626953E-1,9.948126078E-1
2.134999990E0,-2.270507812E-2,2.355957031E-2,9.932861328E-1,9.938248992E-1
2.145999908E0,-2.233886719E-2,2.404785156E-2,9.930419922E-1,9.935842752E-1
2.155999899E0,-2.172851562E-2,2.551269531E-2,9.931640625E-1,9.937292933E-1
2.165999889E0,-2.160644531E-2,2.612304688E-2,9.921875000E-1,9.927664995E-1
2.176000118E0,-2.197265625E-2,2.575683594E-2,9.927978516E-1,9.933749437E-1
2.186000109E0,-2.209472656E-2,2.551269531E-2,9.952392578E-1,9.958113432E-1
2.196000099E0,-2.209472656E-2,2.575683594E-2,9.952392578E-1,9.958176613E-1
2.207000017E0,-2.197265625E-2,2.563476562E-2,9.931640625E-1,9.937378168E-1
2.217000008E0,-2.136230469E-2,2.551269531E-2,9.932861328E-1,9.938433170E-1
2.226000071E0,-2.111816406E-2,2.526855469E-2,9.942626953E-1,9.948078990E-1
2.236000061E0,-2.172851562E-2,2.514648438E-2,9.940185547E-1,9.945739508E-1
2.256999969E0,-2.331542969E-2,2.429199219E-2,9.948730469E-1,9.954426885E-1
2.267999887E0,-2.294921875E-2,2.416992188E-2,9.945068359E-1,9.950651526E-1
2.276999950E0,-2.233886719E-2,2.429199219E-2,9.936523438E-1,9.942002296E-1
2.286999941E0,-2.221679688E-2,2.429199219E-2,9.936523438E-1,9.941974878E-1
2.296999931E0,-2.246093750E-2,2.429199219E-2,9.940185547E-1,9.945690036E-1
2.308000088E0,-2.307128906E-2,2.404785156E-2,9.937744141E-1,9.943330288E-1
2.318000078E0,-2.368164062E-2,2.416992188E-2,9.931640625E-1,9.937403202E-1
2.368000031E0,-2.282714844E-2,2.490234375E-2,9.946289062E-1,9.952024221E-1
2.378000021E0,-2.233886719E-2,2.465820312E-2,9.945068359E-1,9.950632453E-1
2.388000011E0,-2.148437500E-2,2.514648438E-2,9.940185547E-1,9.945686460E-1
2.398999929E0,-2.160644531E-2,2.551269531E-2,9.937744141E-1,9.943366051E-1
2.408999920E0,-2.221679688E-2,2.551269531E-2,9.935302734E-1,9.941060543E-1
2.418999910E0,-2.233886719E-2,2.502441406E-2,9.935302734E-1,9.940963984E-1
2.430000067E0,-2.197265625E-2,2.453613281E-2,9.931640625E-1,9.937100410E-1
2.440000057E0,-2.160644531E-2,2.453613281E-2,9.935302734E-1,9.940680265E-1
2.450000048E0,-2.148437500E-2,2.490234375E-2,9.943847656E-1,9.949285388E-1
2.460000038E0,-2.197265625E-2,2.514648438E-2,9.940185547E-1,9.945793152E-1
2.470000029E0,-2.221679688E-2,2.441406250E-2,9.936523438E-1,9.942004681E-1
2.480000019E0,-2.258300781E-2,2.404785156E-2,9.936523438E-1,9.941998124E-1
2.490000010E0,-2.233886719E-2,2.453613281E-2,9.931640625E-1,9.937182069E-1
2.500000000E0,-2.209472656E-2,2.441406250E-2,9.927978516E-1,9.933437705E-1
2.509999990E0,-2.246093750E-2,2.380371094E-2,9.927978516E-1,9.933371544E-1
2.520999908E0,-2.246093750E-2,2.368164062E-2,9.927978516E-1,9.933342338E-1
2.530999899E0,-2.233886719E-2,2.429199219E-2,9.934082031E-1,9.939562082E-1
2.540999889E0,-2.282714844E-2,2.465820312E-2,9.940185547E-1,9.945863485E-1
2.551000118E0,-2.368164062E-2,2.490234375E-2,9.942626953E-1,9.948564172E-1
2.561000109E0,-2.368164062E-2,2.502441406E-2,9.942626953E-1,9.948594570E-1
2.571000099E0,-2.307128906E-2,2.490234375E-2,9.943847656E-1,9.949640632E-1
2.582000017E0,-2.246093750E-2,2.490234375E-2,9.938964844E-1,9.944620728E-1
2.592000008E0,-2.160644531E-2,2.526855469E-2,9.934082031E-1,9.939643741E-1
2.601999998E0,-2.160644531E-2,2.612304688E-2,9.930419922E-1,9.936204553E-1
2.611999989E0,-2.246093750E-2,2.636718750E-2,9.934082031E-1,9.940118790E-1
2.621999979E0,-2.282714844E-2,2.624511719E-2,9.941406250E-1,9.947489500E-1
2.631999969E0,-2.270507812E-2,2.563476562E-2,9.945068359E-1,9.950962067E-1
2.641999960E0,-2.258300781E-2,2.478027344E-2,9.943847656E-1,9.949498177E-1
2.651999950E0,-2.270507812E-2,2.429199219E-2,9.940185547E-1,9.945745468E-1
2.661999941E0,-2.246093750E-2,2.453613281E-2,9.938964844E-1,9.944530129E-1
2.673000097E0,-2.209472656E-2,2.539062500E-2,9.937744141E-1,9.943442345E-1
2.683000088E0,-2.172851562E-2,2.587890625E-2,9.942626953E-1,9.948367476E-1
2.693000078E0,-2.148437500E-2,2.514648438E-2,9.946289062E-1,9.951786995E-1
2.703999996E0,-2.124023438E-2,2.392578125E-2,9.941406250E-1,9.946553111E-1
2.713000059E0,-2.124023438E-2,2.355957031E-2,9.938964844E-1,9.944025278E-1
2.723999977E0,-2.148437500E-2,2.404785156E-2,9.943847656E-1,9.949074984E-1
2.733000040E0,-2.148437500E-2,2.453613281E-2,9.942626953E-1,9.947974086E-1
2.743000031E0,-2.172851562E-2,2.429199219E-2,9.936523438E-1,9.941866994E-1
2.753000021E0,-2.221679688E-2,2.368164062E-2,9.932861328E-1,9.938167334E-1
2.763999939E0,-2.233886719E-2,2.331542969E-2,9.934082031E-1,9.939328432E-1
2.773999929E0,-2.258300781E-2,2.416992188E-2,9.937744141E-1,9.943248034E-1
2.783999920E0,-2.233886719E-2,2.526855469E-2,9.937744141E-1,9.943465590E-1
2.793999910E0,-2.221679688E-2,2.502441406E-2,9.936523438E-1,9.942156672E-1
2.803999901E0,-2.258300781E-2,2.490234375E-2,9.937744141E-1,9.943428636E-1
2.815000057E0,-2.343750000E-2,2.502441406E-2,9.934082031E-1,9.939997196E-1
2.835000038E0,-2.392578125E-2,2.539062500E-2,9.937744141E-1,9.943866134E-1
2.845000029E0,-2.319335938E-2,2.551269531E-2,9.941406250E-1,9.947383404E-1
2.855999947E0,-2.233886719E-2,2.514648438E-2,9.938964844E-1,9.944654703E-1
2.865999937E0,-2.160644531E-2,2.453613281E-2,9.936523438E-1,9.941900373E-1
2.875999928E0,-2.148437500E-2,2.429199219E-2,9.941406250E-1,9.946694374E-1
2.885999918E0,-2.197265625E-2,2.441406250E-2,9.936523438E-1,9.941950440E-1
2.895999908E0,-2.270507812E-2,2.514648438E-2,9.935302734E-1,9.941077828E-1
2.905999899E0,-2.307128906E-2,2.612304688E-2,9.946289062E-1,9.952393770E-1
2.915999889E0,-2.331542969E-2,2.563476562E-2,9.948730469E-1,9.954763055E-1
2.946000099E0,-2.160644531E-2,2.551269531E-2,9.942626953E-1,9.948246479E-1
2.956000090E0,-2.050781250E-2,2.526855469E-2,9.935302734E-1,9.940631390E-1
2.966000080E0,-2.099609375E-2,2.478027344E-2,9.936523438E-1,9.941830039E-1
2.976000071E0,-2.221679688E-2,2.465820312E-2,9.937744141E-1,9.943284988E-1
2.986000061E0,-2.185058594E-2,2.478027344E-2,9.938964844E-1,9.944454432E-1
3.006999969E0,-2.136230469E-2,2.465820312E-2,9.931640625E-1,9.936997890E-1
3.016999960E0,-2.172851562E-2,2.429199219E-2,9.927978516E-1,9.933326840E-1
3.026999950E0,-2.148437500E-2,2.465820312E-2,9.935302734E-1,9.940683842E-1
3.036999941E0,-2.148437500E-2,2.490234375E-2,9.940185547E-1,9.945625067E-1
3.048000097E0,-2.185058594E-2,2.478027344E-2,9.940185547E-1,9.945674539E-1
3.058000088E0,-2.258300781E-2,2.490234375E-2,9.940185547E-1,9.945868254E-1
3.068000078E0,-2.307128906E-2,2.490234375E-2,9.940185547E-1,9.945980310E-1
3.118999958E0,-2.343750000E-2,2.600097656E-2,9.931640625E-1,9.937807918E-1
3.138999939E0,-2.258300781E-2,2.526855469E-2,9.934082031E-1,9.939860702E-1
3.150000095E0,-2.209472656E-2,2.612304688E-2,9.927978516E-1,9.933872223E-1
3.158999920E0,-2.136230469E-2,2.624511719E-2,9.925537109E-1,9.931304455E-1
3.168999910E0,-2.148437500E-2,2.575683594E-2,9.924316406E-1,9.929982424E-1
3.178999901E0,-2.233886719E-2,2.490234375E-2,9.919433594E-1,9.925073385E-1
3.190000057E0,-2.270507812E-2,2.392578125E-2,9.920654297E-1,9.926136136E-1
3.210000038E0,-2.185058594E-2,2.368164062E-2,9.935302734E-1,9.940526485E-1
3.220000029E0,-2.136230469E-2,2.416992188E-2,9.946289062E-1,9.951518178E-1
3.230000019E0,-2.111816406E-2,2.416992188E-2,9.956054688E-1,9.961227179E-1
3.250999928E0,-2.172851562E-2,2.453613281E-2,9.940185547E-1,9.945586920E-1
3.260999918E0,-2.172851562E-2,2.465820312E-2,9.930419922E-1,9.935857058E-1
3.270999908E0,-2.185058594E-2,2.441406250E-2,9.936523438E-1,9.941923618E-1
3.280999899E0,-2.221679688E-2,2.416992188E-2,9.948730469E-1,9.954145551E-1
3.290999889E0,-2.270507812E-2,2.441406250E-2,9.948730469E-1,9.954315424E-1
3.301000118E0,-2.270507812E-2,2.478027344E-2,9.940185547E-1,9.945865870E-1
3.331000090E0,-2.160644531E-2,2.697753906E-2,9.923095703E-1,9.929113388E-1
3.351999998E0,-2.270507812E-2,2.539062500E-2,9.931640625E-1,9.937480092E-1
3.361999989E0,-2.392578125E-2,2.502441406E-2,9.934082031E-1,9.940113425E-1
3.371999979E0,-2.441406250E-2,2.465820312E-2,9.927978516E-1,9.934040904E-1
3.381999969E0,-2.368164062E-2,2.441406250E-2,9.918212891E-1,9.924043417E-1
3.391999960E0,-2.258300781E-2,2.368164062E-2,9.926757812E-1,9.932149649E-1
3.401999950E0,-2.197265625E-2,2.319335938E-2,9.936523438E-1,9.941658378E-1
3.411999941E0,-2.209472656E-2,2.416992188E-2,9.937744141E-1,9.943138361E-1
3.421999931E0,-2.209472656E-2,2.526855469E-2,9.932861328E-1,9.938530922E-1
3.433000088E0,-2.246093750E-2,2.551269531E-2,9.929199219E-1,9.935015440E-1
3.443000078E0,-2.282714844E-2,2.539062500E-2,9.929199219E-1,9.935067892E-1
3.453000069E0,-2.246093750E-2,2.502441406E-2,9.932861328E-1,9.938551784E-1
3.463000059E0,-2.221679688E-2,2.453613281E-2,9.937744141E-1,9.943255186E-1
3.473000050E0,-2.246093750E-2,2.429199219E-2,9.940185547E-1,9.945690036E-1
3.483999968E0,-2.233886719E-2,2.465820312E-2,9.937744141E-1,9.943312407E-1
3.493999958E0,-2.185058594E-2,2.514648438E-2,9.927978516E-1,9.933566451E-1
3.503999949E0,-2.124023438E-2,2.539062500E-2,9.923095703E-1,9.928615689E-1
3.523999929E0,-2.111816406E-2,2.453613281E-2,9.941406250E-1,9.946675897E-1
3.535000086E0,-2.185058594E-2,2.465820312E-2,9.951171875E-1,9.956624508E-1
3.543999910E0,-2.246093750E-2,2.526855469E-2,9.949951172E-1,9.955693483E-1
3.553999901E0,-2.294921875E-2,2.551269531E-2,9.941406250E-1,9.947326779E-1
3.575000048E0,-2.343750000E-2,2.441406250E-2,9.936523438E-1,9.942285419E-1
3.585000038E0,-2.258300781E-2,2.429199219E-2,9.935302734E-1,9.940837622E-1
3.605000019E0,-2.185058594E-2,2.502441406E-2,9.937744141E-1,9.943295717E-1
3.615000010E0,-2.209472656E-2,2.575683594E-2,9.930419922E-1,9.936216474E-1
3.625000000E0,-2.246093750E-2,2.563476562E-2,9.929199219E-1,9.935047030E-1
3.634999990E0,-2.221679688E-2,2.539062500E-2,9.930419922E-1,9.936149716E-1
3.644999981E0,-2.233886719E-2,2.502441406E-2,9.931640625E-1,9.937304258E-1
3.655999899E0,-2.233886719E-2,2.453613281E-2,9.935302734E-1,9.940842390E-1
3.676000118E0,-2.136230469E-2,2.416992188E-2,9.941406250E-1,9.946638346E-1
3.687000036E0,-2.197265625E-2,2.355957031E-2,9.930419922E-1,9.935644269E-1
3.696000099E0,-2.307128906E-2,2.441406250E-2,9.929199219E-1,9.934879541E-1
3.706000090E0,-2.319335938E-2,2.526855469E-2,9.937744141E-1,9.943661094E-1
3.726999998E0,-2.246093750E-2,2.514648438E-2,9.947509766E-1,9.953222275E-1
3.736999989E0,-2.185058594E-2,2.514648438E-2,9.938964844E-1,9.944546223E-1
3.747999907E0,-2.124023438E-2,2.514648438E-2,9.930419922E-1,9.935873747E-1
3.756999969E0,-2.172851562E-2,2.441406250E-2,9.929199219E-1,9.934576750E-1
3.766999960E0,-2.258300781E-2,2.404785156E-2,9.929199219E-1,9.934678078E-1
3.776999950E0,-2.294921875E-2,2.429199219E-2,9.937744141E-1,9.943361282E-1
3.786999941E0,-2.258300781E-2,2.465820312E-2,9.945068359E-1,9.950687885E-1
3.798000097E0,-2.233886719E-2,2.478027344E-2,9.937744141E-1,9.943342805E-1
3.808000088E0,-2.185058594E-2,2.490234375E-2,9.935302734E-1,9.940825105E-1
3.818000078E0,-2.209472656E-2,2.551269531E-2,9.937744141E-1,9.943473339E-1
3.828000069E0,-2.282714844E-2,2.587890625E-2,9.937744141E-1,9.943733811E-1
3.838000059E0,-2.282714844E-2,2.539062500E-2,9.936523438E-1,9.942387938E-1
3.848000050E0,-2.258300781E-2,2.490234375E-2,9.931640625E-1,9.937328696E-1
3.858000040E0,-2.246093750E-2,2.465820312E-2,9.926757812E-1,9.932360053E-1
3.868999958E0,-2.221679688E-2,2.465820312E-2,9.924316406E-1,9.929865003E-1
3.878999949E0,-2.197265625E-2,2.502441406E-2,9.923095703E-1,9.928682446E-1
3.888999939E0,-2.197265625E-2,2.575683594E-2,9.934082031E-1,9.939849377E-1
3.898999929E0,-2.221679688E-2,2.587890625E-2,9.941406250E-1,9.947255254E-1
3.908999920E0,-2.221679688E-2,2.502441406E-2,9.935302734E-1,9.940936565E-1
3.920000076E0,-2.185058594E-2,2.453613281E-2,9.937744141E-1,9.943173528E-1
3.930000067E0,-2.136230469E-2,2.453613281E-2,9.937744141E-1,9.943067431E-1
3.940000057E0,-2.099609375E-2,2.429199219E-2,9.932861328E-1,9.938049316E-1
3.950000048E0,-2.062988281E-2,2.465820312E-2,9.934082031E-1,9.939283133E-1
3.960000038E0,-2.062988281E-2,2.526855469E-2,9.931640625E-1,9.936996102E-1
3.970000029E0,-2.124023438E-2,2.502441406E-2,9.929199219E-1,9.934623241E-1
3.980000019E0,-2.160644531E-2,2.478027344E-2,9.932861328E-1,9.938300848E-1
3.990999937E0,-2.160644531E-2,2.514648438E-2,9.941406250E-1,9.946932793E-1
4.011000156E0,-2.258300781E-2,2.416992188E-2,9.949951172E-1,9.955447912E-1
4.020999908E0,-2.270507812E-2,2.404785156E-2,9.949951172E-1,9.955446124E-1
4.031000137E0,-2.221679688E-2,2.502441406E-2,9.937744141E-1,9.943376780E-1
4.051000118E0,-2.221679688E-2,2.612304688E-2,9.935302734E-1,9.941219091E-1
4.060999870E0,-2.172851562E-2,2.587890625E-2,9.938964844E-1,9.944707751E-1
4.071000099E0,-2.185058594E-2,2.453613281E-2,9.935302734E-1,9.940733910E-1
4.081999779E0,-2.233886719E-2,2.368164062E-2,9.931640625E-1,9.936974645E-1
4.092000008E0,-2.233886719E-2,2.380371094E-2,9.930419922E-1,9.935783744E-1
4.102000237E0,-2.246093750E-2,2.453613281E-2,9.934082031E-1,9.939649701E-1
4.111999989E0,-2.270507812E-2,2.539062500E-2,9.940185547E-1,9.946019650E-1
4.123000145E0,-2.233886719E-2,2.526855469E-2,9.943847656E-1,9.949565530E-1
4.132999897E0,-2.221679688E-2,2.514648438E-2,9.940185547E-1,9.945847392E-1
4.142000198E0,-2.246093750E-2,2.514648438E-2,9.934082031E-1,9.939802289E-1
4.151999950E0,-2.209472656E-2,2.404785156E-2,9.935302734E-1,9.940668344E-1
4.162000179E0,-2.160644531E-2,2.307128906E-2,9.936523438E-1,9.941549897E-1
4.183000088E0,-2.160644531E-2,2.465820312E-2,9.926757812E-1,9.932170510E-1
4.192999840E0,-2.221679688E-2,2.551269531E-2,9.926757812E-1,9.932520986E-1
4.203000069E0,-2.197265625E-2,2.563476562E-2,9.927978516E-1,9.933717847E-1
4.212999821E0,-2.148437500E-2,2.514648438E-2,9.927978516E-1,9.933486581E-1
4.223000050E0,-2.148437500E-2,2.453613281E-2,9.935302734E-1,9.940654039E-1
4.234000206E0,-2.209472656E-2,2.490234375E-2,9.941406250E-1,9.946978688E-1
4.243999958E0,-2.246093750E-2,2.514648438E-2,9.942626953E-1,9.948342443E-1
4.254000187E0,-2.258300781E-2,2.465820312E-2,9.941406250E-1,9.947027564E-1
4.263999939E0,-2.270507812E-2,2.416992188E-2,9.946289062E-1,9.951815605E-1
4.274000168E0,-2.258300781E-2,2.404785156E-2,9.949951172E-1,9.955418706E-1
4.283999920E0,-2.282714844E-2,2.478027344E-2,9.945068359E-1,9.950773716E-1
4.295000076E0,-2.282714844E-2,2.514648438E-2,9.936523438E-1,9.942325950E-1
4.304999828E0,-2.294921875E-2,2.514648438E-2,9.931640625E-1,9.937474132E-1
4.315000057E0,-2.331542969E-2,2.502441406E-2,9.930419922E-1,9.936308265E-1
4.324999809E0,-2.355957031E-2,2.429199219E-2,9.931640625E-1,9.937404394E-1
4.335000038E0,-2.368164062E-2,2.404785156E-2,9.940185547E-1,9.945913553E-1
4.344999790E0,-2.294921875E-2,2.453613281E-2,9.947509766E-1,9.953181148E-1
4.355999947E0,-2.172851562E-2,2.514648438E-2,9.942626953E-1,9.948179722E-1
4.366000175E0,-2.136230469E-2,2.539062500E-2,9.937744141E-1,9.943282008E-1
4.375999928E0,-2.172851562E-2,2.514648438E-2,9.937744141E-1,9.943299294E-1
4.386000156E0,-2.209472656E-2,2.478027344E-2,9.935302734E-1,9.940848351E-1
4.435999870E0,-2.136230469E-2,2.465820312E-2,9.940185547E-1,9.945538044E-1
4.446000099E0,-2.246093750E-2,2.478027344E-2,9.938964844E-1,9.944590330E-1
4.455999851E0,-2.270507812E-2,2.514648438E-2,9.936523438E-1,9.942297935E-1
4.467000008E0,-2.221679688E-2,2.478027344E-2,9.936523438E-1,9.942095280E-1
4.477000237E0,-2.197265625E-2,2.441406250E-2,9.932861328E-1,9.938290715E-1
4.486999989E0,-2.233886719E-2,2.441406250E-2,9.929199219E-1,9.934712052E-1
4.497000217E0,-2.197265625E-2,2.465820312E-2,9.935302734E-1,9.940791130E-1
4.506999969E0,-2.197265625E-2,2.514648438E-2,9.946289062E-1,9.951893091E-1
4.558000088E0,-2.258300781E-2,2.514648438E-2,9.947509766E-1,9.953249693E-1
4.567999840E0,-2.294921875E-2,2.502441406E-2,9.949951172E-1,9.955742955E-1
4.578999996E0,-2.343750000E-2,2.490234375E-2,9.949951172E-1,9.955825806E-1
4.589000225E0,-2.319335938E-2,2.478027344E-2,9.940185547E-1,9.945978522E-1
4.609000206E0,-2.331542969E-2,2.526855469E-2,9.937744141E-1,9.943689704E-1
4.619999886E0,-2.294921875E-2,2.514648438E-2,9.949951172E-1,9.955773950E-1
4.638999939E0,-2.233886719E-2,2.392578125E-2,9.953613281E-1,9.958994389E-1
4.650000095E0,-2.185058594E-2,2.368164062E-2,9.953613281E-1,9.958827496E-1
4.659999847E0,-2.172851562E-2,2.355957031E-2,9.948730469E-1,9.953891635E-1
4.670000076E0,-2.148437500E-2,2.380371094E-2,9.943847656E-1,9.949016571E-1
4.679999828E0,-2.124023438E-2,2.416992188E-2,9.946289062E-1,9.951492548E-1
4.689000130E0,-2.136230469E-2,2.429199219E-2,9.943847656E-1,9.949107766E-1
4.698999882E0,-2.209472656E-2,2.465820312E-2,9.937744141E-1,9.943258166E-1
4.719999790E0,-2.307128906E-2,2.441406250E-2,9.934082031E-1,9.939759374E-1
4.730000019E0,-2.282714844E-2,2.478027344E-2,9.947509766E-1,9.953213930E-1
4.741000175E0,-2.233886719E-2,2.502441406E-2,9.949951172E-1,9.955604076E-1
4.761000156E0,-2.294921875E-2,2.453613281E-2,9.941406250E-1,9.947081208E-1
4.770999908E0,-2.343750000E-2,2.539062500E-2,9.943847656E-1,9.949849844E-1
4.781000137E0,-2.319335938E-2,2.587890625E-2,9.945068359E-1,9.951137900E-1
4.790999889E0,-2.270507812E-2,2.526855469E-2,9.949951172E-1,9.955748320E-1
4.811999798E0,-2.209472656E-2,2.453613281E-2,9.945068359E-1,9.950547814E-1
4.830999851E0,-2.160644531E-2,2.563476562E-2,9.957275391E-1,9.962917566E-1
4.841000080E0,-2.136230469E-2,2.563476562E-2,9.952392578E-1,9.957985282E-1
4.861999989E0,-2.209472656E-2,2.478027344E-2,9.929199219E-1,9.934748411E-1
4.872000217E0,-2.258300781E-2,2.478027344E-2,9.936523438E-1,9.942178130E-1
4.881999969E0,-2.233886719E-2,2.502441406E-2,9.942626953E-1,9.948284030E-1
4.892000198E0,-2.246093750E-2,2.526855469E-2,9.945068359E-1,9.950813055E-1
4.901999950E0,-2.246093750E-2,2.514648438E-2,9.935302734E-1,9.941022396E-1
4.912000179E0,-2.172851562E-2,2.478027344E-2,9.926757812E-1,9.932227135E-1
4.922999859E0,-2.124023438E-2,2.416992188E-2,9.930419922E-1,9.935631752E-1
4.933000088E0,-2.136230469E-2,2.478027344E-2,9.943847656E-1,9.949228764E-1
4.943999767E0,-2.197265625E-2,2.551269531E-2,9.946289062E-1,9.951986670E-1
