"Time t (s)","Angular Velocity x (rad/s)","Angular Velocity y (rad/s)","Angular Velocity z (rad/s)","Absolute Angular Velocity (rad/s)"
2.480999947E0,6.391580697E-3,1.065263471E-3,-1.065263471E-3,6.566725003E-3
2.490999937E0,8.522107770E-3,1.065263471E-3,0.000000000E0,8.588428747E-3
2.500999928E0,7.456844234E-3,1.065263471E-3,0.000000000E0,7.532550245E-3
2.510999918E0,5.326317681E-3,2.130526942E-3,1.065263471E-3,5.834688696E-3
2.519999981E0,3.195790349E-3,2.130526942E-3,1.065263471E-3,3.985851009E-3
2.529999971E0,2.130526942E-3,2.130526942E-3,0.000000000E0,3.013020150E-3
2.539999962E0,2.130526942E-3,1.065263471E-3,-1.065263471E-3,2.609351849E-3
2.551000118E0,4.261053885E-3,1.065263471E-3,-1.065263471E-3,4.519530355E-3
2.559999943E0,6.391580697E-3,2.130526942E-3,-2.130526942E-3,7.066158311E-3
2.569999933E0,6.391580697E-3,3.195790349E-3,-1.065263471E-3,7.224968403E-3
2.581000090E0,7.456844234E-3,3.195790349E-3,0.000000000E0,8.112804703E-3
2.589999914E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
2.599999905E0,0.000000000E0,1.065263471E-3,-1.065263471E-3,1.506510075E-3
2.609999895E0,-2.130526942E-3,1.065263471E-3,0.000000000E0,2.382001568E-3
2.618999958E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
2.628999949E0,8.522107770E-3,2.130526942E-3,1.065263471E-3,8.848742641E-3
2.638999939E0,6.391580697E-3,2.130526942E-3,1.065263471E-3,6.821014020E-3
2.648999929E0,9.587371826E-3,2.130526942E-3,0.000000000E0,9.821243986E-3
2.658999920E0,1.065263536E-2,1.065263471E-3,1.065263471E-3,1.075863429E-2
2.668999910E0,6.391580697E-3,2.130526942E-3,1.065263471E-3,6.821014020E-3
2.678999901E0,4.261053885E-3,2.130526942E-3,1.065263471E-3,4.881650258E-3
2.687999964E0,6.391580697E-3,2.130526942E-3,1.065263471E-3,6.821014020E-3
2.698999882E0,4.261053885E-3,3.195790349E-3,-1.065263471E-3,5.431799057E-3
2.709000111E0,3.195790349E-3,3.195790349E-3,-1.065263471E-3,4.643375564E-3
2.717999935E0,5.326317681E-3,3.195790349E-3,-1.065263471E-3,6.302183865E-3
2.737999916E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
2.747999907E0,5.326317681E-3,2.130526942E-3,-1.065263471E-3,5.834688696E-3
2.757999897E0,5.326317681E-3,2.130526942E-3,-1.065263471E-3,5.834688696E-3
2.776999950E0,3.195790349E-3,2.130526942E-3,-1.065263471E-3,3.985851009E-3
2.788000107E0,3.195790349E-3,2.130526942E-3,-1.065263471E-3,3.985851009E-3
2.796999931E0,3.195790349E-3,2.130526942E-3,-1.065263471E-3,3.985851009E-3
2.806999922E0,4.261053885E-3,1.065263471E-3,-1.065263471E-3,4.519530355E-3
2.846999884E0,4.261053885E-3,3.195790349E-3,1.065263471E-3,5.431799057E-3
2.857000113E0,4.261053885E-3,3.195790349E-3,0.000000000E0,5.326317161E-3
2.875999928E0,5.326317681E-3,3.195790349E-3,-1.065263471E-3,6.302183865E-3
2.887000084E0,7.456844234E-3,3.195790349E-3,0.000000000E0,8.112804703E-3
2.897000074E0,7.456844234E-3,3.195790349E-3,0.000000000E0,8.112804703E-3
2.915999889E0,6.391580697E-3,1.065263471E-3,0.000000000E0,6.479744779E-3
2.926000118E0,5.326317681E-3,1.065263471E-3,1.065263471E-3,5.535271621E-3
2.936000109E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
2.946000099E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
2.954999924E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
2.964999914E0,4.261053885E-3,2.130526942E-3,1.065263471E-3,4.881650258E-3
2.974999905E0,4.261053885E-3,2.130526942E-3,0.000000000E0,4.764003135E-3
2.984999895E0,4.261053885E-3,3.195790349E-3,0.000000000E0,5.326317161E-3
2.996000051E0,5.326317681E-3,3.195790349E-3,0.000000000E0,6.211500185E-3
3.003999949E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
3.015000105E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
3.063999891E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
3.073999882E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
3.085000038E0,5.326317681E-3,1.065263471E-3,0.000000000E0,5.431799577E-3
3.094000101E0,6.391580697E-3,1.065263471E-3,1.065263471E-3,6.566725003E-3
3.104000092E0,5.326317681E-3,1.065263471E-3,1.065263471E-3,5.535271621E-3
3.112999916E0,5.326317681E-3,2.130526942E-3,1.065263471E-3,5.834688696E-3
3.122999907E0,4.261053885E-3,3.195790349E-3,1.065263471E-3,5.431799057E-3
3.151999950E0,3.195790349E-3,1.065263471E-3,0.000000000E0,3.368658746E-3
3.161999941E0,4.261053885E-3,1.065263471E-3,0.000000000E0,4.392193912E-3
3.171999931E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
3.183000088E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
3.201999903E0,6.391580697E-3,1.065263471E-3,0.000000000E0,6.479744779E-3
3.211999893E0,5.326317681E-3,1.065263471E-3,1.065263471E-3,5.535271621E-3
3.223000050E0,4.261053885E-3,2.130526942E-3,0.000000000E0,4.764003135E-3
3.232000113E0,5.326317681E-3,2.130526942E-3,-1.065263471E-3,5.834688696E-3
3.242000103E0,6.391580697E-3,2.130526942E-3,-1.065263471E-3,6.821014020E-3
3.252000093E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
3.262000084E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
3.270999908E0,7.456844234E-3,2.130526942E-3,0.000000000E0,7.755235057E-3
3.282000065E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
3.290999889E0,5.326317681E-3,2.130526942E-3,-1.065263471E-3,5.834688696E-3
3.301000118E0,4.261053885E-3,2.130526942E-3,0.000000000E0,4.764003135E-3
3.311000109E0,3.195790349E-3,3.195790349E-3,0.000000000E0,4.519529835E-3
3.321000099E0,2.130526942E-3,2.130526942E-3,0.000000000E0,3.013020150E-3
3.331000090E0,3.195790349E-3,2.130526942E-3,0.000000000E0,3.840862035E-3
3.341000080E0,4.261053885E-3,2.130526942E-3,0.000000000E0,4.764003135E-3
3.361000061E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
3.371000051E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
3.380000114E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
3.390000105E0,4.261053885E-3,3.195790349E-3,0.000000000E0,5.326317161E-3
3.400000095E0,4.261053885E-3,3.195790349E-3,-1.065263471E-3,5.431799057E-3
3.410000086E0,5.326317681E-3,3.195790349E-3,-1.065263471E-3,6.302183865E-3
3.479000092E0,5.326317681E-3,1.065263471E-3,-1.065263471E-3,5.535271621E-3
3.489000082E0,5.326317681E-3,0.000000000E0,0.000000000E0,5.326317681E-3
3.497999907E0,5.326317681E-3,1.065263471E-3,0.000000000E0,5.431799577E-3
3.509000063E0,5.326317681E-3,1.065263471E-3,0.000000000E0,5.431799577E-3
3.519000053E0,4.261053885E-3,2.130526942E-3,0.000000000E0,4.764003135E-3
3.528000116E0,4.261053885E-3,2.130526942E-3,0.000000000E0,4.764003135E-3
3.548000097E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
3.558000088E0,5.326317681E-3,1.065263471E-3,0.000000000E0,5.431799577E-3
3.568000078E0,4.261053885E-3,2.130526942E-3,0.000000000E0,4.764003135E-3
3.586999893E0,3.195790349E-3,2.130526942E-3,0.000000000E0,3.840862035E-3
3.598000050E0,3.195790349E-3,2.130526942E-3,0.000000000E0,3.840862035E-3
3.607000113E0,3.195790349E-3,2.130526942E-3,0.000000000E0,3.840862035E-3
3.617000103E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
3.627000093E0,7.456844234E-3,1.065263471E-3,0.000000000E0,7.532550245E-3
3.637000084E0,7.456844234E-3,1.065263471E-3,0.000000000E0,7.532550245E-3
3.647000074E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
3.657000065E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
3.665999889E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
3.676000118E0,4.261053885E-3,2.130526942E-3,0.000000000E0,4.764003135E-3
3.687000036E0,4.261053885E-3,2.130526942E-3,0.000000000E0,4.764003135E-3
3.696000099E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
3.706000090E0,5.326317681E-3,2.130526942E-3,-1.065263471E-3,5.834688696E-3
3.717000008E0,5.326317681E-3,2.130526942E-3,-1.065263471E-3,5.834688696E-3
3.726000071E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
3.736000061E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
3.746000051E0,6.391580697E-3,2.130526942E-3,1.065263471E-3,6.821014020E-3
3.755000114E0,5.326317681E-3,2.130526942E-3,1.065263471E-3,5.834688696E-3
3.765000105E0,5.326317681E-3,2.130526942E-3,1.065263471E-3,5.834688696E-3
3.776000023E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
3.786000013E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
3.835000038E0,5.326317681E-3,2.130526942E-3,-1.065263471E-3,5.834688696E-3
3.874000072E0,6.391580697E-3,1.065263471E-3,0.000000000E0,6.479744779E-3
3.884000063E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
3.894000053E0,7.456844234E-3,2.130526942E-3,0.000000000E0,7.755235057E-3
3.903000116E0,7.456844234E-3,2.130526942E-3,1.065263471E-3,7.828055807E-3
3.913000107E0,6.391580697E-3,2.130526942E-3,1.065263471E-3,6.821014020E-3
3.933000088E0,5.326317681E-3,3.195790349E-3,0.000000000E0,6.211500185E-3
3.943000078E0,4.261053885E-3,2.130526942E-3,-1.065263471E-3,4.881650258E-3
3.953000069E0,4.261053885E-3,2.130526942E-3,-1.065263471E-3,4.881650258E-3
